Subject,Model,Accuracy
1,ATCNet,28.47
1,ATCNet,35.42
1,ATCNet,40.28
1,ATCNet,40.97
1,ATCNet,42.01
1,ATCNet,43.4
1,ATCNet,44.44
1,ATCNet,44.44
1,ATCNet,44.79
1,ATCNet,44.79
1,ATCNet,46.18
1,ATCNet,47.22
1,ATCNet,47.92
1,ATCNet,47.22
1,ATCNet,45.49
1,ATCNet,46.18
1,ATCNet,46.18
1,ATCNet,46.53
1,ATCNet,47.22
1,ATCNet,50.0
1,ATCNet,49.65
1,ATCNet,51.39
1,ATCNet,50.69
1,ATCNet,48.96
1,ATCNet,53.12
1,ATCNet,55.21
1,ATCNet,50.0
1,ATCNet,52.08
1,ATCNet,57.64
1,ATCNet,55.56
1,ATCNet,55.9
1,ATCNet,53.82
1,ATCNet,59.38
1,ATCNet,60.07
1,ATCNet,56.94
1,ATCNet,60.07
1,ATCNet,59.72
1,ATCNet,60.76
1,ATCNet,63.89
1,ATCNet,59.72
1,ATCNet,61.46
1,ATCNet,61.46
1,ATCNet,61.46
1,ATCNet,63.89
1,ATCNet,62.15
1,ATCNet,64.24
1,ATCNet,64.58
1,ATCNet,62.85
1,ATCNet,64.58
1,ATCNet,65.62
1,ATCNet,63.89
1,ATCNet,63.54
1,ATCNet,66.32
1,ATCNet,64.93
1,ATCNet,65.28
1,ATCNet,64.93
1,ATCNet,65.28
1,ATCNet,66.32
1,ATCNet,65.62
1,ATCNet,65.28
1,ATCNet,65.97
1,ATCNet,66.32
1,ATCNet,65.97
1,ATCNet,65.97
1,ATCNet,66.67
1,ATCNet,66.67
1,ATCNet,66.32
1,ATCNet,67.36
1,ATCNet,67.36
1,ATCNet,66.32
1,ATCNet,66.32
1,ATCNet,66.32
1,ATCNet,66.32
1,ATCNet,65.97
1,ATCNet,65.97
1,ATCNet,66.67
1,ATCNet,66.67
1,ATCNet,66.67
1,ATCNet,65.97
1,ATCNet,67.01
1,ATCNet,67.36
1,ATCNet,67.36
1,ATCNet,67.71
1,ATCNet,67.71
1,ATCNet,67.71
1,ATCNet,68.06
1,ATCNet,68.06
1,ATCNet,68.06
1,ATCNet,67.71
1,ATCNet,67.36
1,ATCNet,67.36
1,ATCNet,67.71
1,ATCNet,67.71
1,ATCNet,67.71
1,ATCNet,67.36
1,ATCNet,67.36
1,ATCNet,67.01
1,ATCNet,68.06
1,ATCNet,67.71
2,ATCNet,30.21
2,ATCNet,34.72
2,ATCNet,33.68
2,ATCNet,36.81
2,ATCNet,34.38
2,ATCNet,36.11
2,ATCNet,38.89
2,ATCNet,40.62
2,ATCNet,42.01
2,ATCNet,43.4
2,ATCNet,42.71
2,ATCNet,45.49
2,ATCNet,46.53
2,ATCNet,44.79
2,ATCNet,45.14
2,ATCNet,47.22
2,ATCNet,47.92
2,ATCNet,48.26
2,ATCNet,46.88
2,ATCNet,46.88
2,ATCNet,49.65
2,ATCNet,49.65
2,ATCNet,48.26
2,ATCNet,45.49
2,ATCNet,47.22
2,ATCNet,47.22
2,ATCNet,48.26
2,ATCNet,48.96
2,ATCNet,50.35
2,ATCNet,52.43
2,ATCNet,52.08
2,ATCNet,48.96
2,ATCNet,51.39
2,ATCNet,48.96
2,ATCNet,48.96
2,ATCNet,49.31
2,ATCNet,50.35
2,ATCNet,51.04
2,ATCNet,49.65
2,ATCNet,50.0
2,ATCNet,49.65
2,ATCNet,52.08
2,ATCNet,50.35
2,ATCNet,52.08
2,ATCNet,50.35
2,ATCNet,49.31
2,ATCNet,49.65
2,ATCNet,51.04
2,ATCNet,51.04
2,ATCNet,50.35
2,ATCNet,50.35
2,ATCNet,50.35
2,ATCNet,50.0
2,ATCNet,50.69
2,ATCNet,50.35
2,ATCNet,50.0
2,ATCNet,51.04
2,ATCNet,48.96
2,ATCNet,51.04
2,ATCNet,51.39
2,ATCNet,50.69
2,ATCNet,51.04
2,ATCNet,51.39
3,ATCNet,33.33
3,ATCNet,33.33
3,ATCNet,37.85
3,ATCNet,40.97
3,ATCNet,47.22
3,ATCNet,49.31
3,ATCNet,49.65
3,ATCNet,50.35
3,ATCNet,49.65
3,ATCNet,51.74
3,ATCNet,52.43
3,ATCNet,54.51
3,ATCNet,52.78
3,ATCNet,56.25
3,ATCNet,54.51
3,ATCNet,56.25
3,ATCNet,59.38
3,ATCNet,59.38
3,ATCNet,58.68
3,ATCNet,59.72
3,ATCNet,60.07
3,ATCNet,60.07
3,ATCNet,62.5
3,ATCNet,64.58
3,ATCNet,64.58
3,ATCNet,65.62
3,ATCNet,65.62
3,ATCNet,66.32
3,ATCNet,66.32
3,ATCNet,68.4
3,ATCNet,67.71
3,ATCNet,68.4
3,ATCNet,70.83
3,ATCNet,69.1
3,ATCNet,69.79
3,ATCNet,70.83
3,ATCNet,71.18
3,ATCNet,70.49
3,ATCNet,72.57
3,ATCNet,73.26
3,ATCNet,73.26
3,ATCNet,73.96
3,ATCNet,75.35
3,ATCNet,75.35
3,ATCNet,76.74
3,ATCNet,77.08
3,ATCNet,76.74
3,ATCNet,77.43
3,ATCNet,76.74
3,ATCNet,77.08
3,ATCNet,78.47
3,ATCNet,78.82
3,ATCNet,79.51
3,ATCNet,78.12
3,ATCNet,77.43
3,ATCNet,78.82
3,ATCNet,78.82
3,ATCNet,78.82
3,ATCNet,80.21
