Model,Accuracy
ATCNet,35.65
ATCNet,41.9
ATCNet,44.37
ATCNet,49.69
ATCNet,49.65
ATCNet,52.12
ATCNet,51.74
ATCNet,52.43
ATCNet,52.93
ATCNet,55.44
ATCNet,54.48
ATCNet,55.36
ATCNet,55.98
ATCNet,57.18
ATCNet,57.91
ATCNet,57.91
ATCNet,58.6
ATCNet,59.26
ATCNet,59.26
ATCNet,59.41
ATCNet,59.26
ATCNet,60.46
ATCNet,62.15
ATCNet,62.96
ATCNet,61.5
ATCNet,62.11
ATCNet,64.54
ATCNet,64.97
ATCNet,65.59
ATCNet,66.01
ATCNet,64.85
ATCNet,66.59
ATCNet,66.01
ATCNet,66.51
ATCNet,67.52
ATCNet,67.17
ATCNet,67.28
ATCNet,66.71
ATCNet,67.55
ATCNet,68.17
ATCNet,67.55
ATCNet,69.25
ATCNet,69.06
ATCNet,68.67
ATCNet,68.6
ATCNet,67.86
ATCNet,68.83
ATCNet,68.98
ATCNet,69.29
ATCNet,69.21
ATCNet,70.45
ATCNet,69.48
ATCNet,68.52
ATCNet,70.22
ATCNet,69.21
ATCNet,69.91
ATCNet,69.44
ATCNet,69.41
ATCNet,70.76
ATCNet,70.83
ATCNet,70.41
ATCNet,70.29
ATCNet,70.25
ATCNet,69.64
ATCNet,70.68
ATCNet,70.87
ATCNet,71.33
ATCNet,70.72
ATCNet,70.22
ATCNet,70.79
ATCNet,69.91
ATCNet,70.33
ATCNet,70.33
ATCNet,69.68
ATCNet,70.79
ATCNet,70.76
ATCNet,70.41
ATCNet,70.45
ATCNet,70.45
ATCNet,71.33
ATCNet,70.6
ATCNet,70.76
ATCNet,71.8
ATCNet,72.11
ATCNet,71.1
ATCNet,71.22
ATCNet,71.06
ATCNet,71.3
ATCNet,71.64
ATCNet,71.45
ATCNet,72.34
ATCNet,72.38
ATCNet,70.76
ATCNet,72.07
ATCNet,72.45
ATCNet,71.91
ATCNet,72.11
ATCNet,71.84
ATCNet,71.76
Deep4Net,29.9
Deep4Net,27.28
Deep4Net,31.91
Deep4Net,35.07
Deep4Net,32.52
Deep4Net,34.18
Deep4Net,40.12
Deep4Net,34.53
Deep4Net,42.82
Deep4Net,42.48
Deep4Net,44.06
Deep4Net,43.67
Deep4Net,48.46
Deep4Net,47.22
Deep4Net,46.57
Deep4Net,46.64
Deep4Net,48.73
Deep4Net,47.69
Deep4Net,47.8
Deep4Net,50.31
Deep4Net,52.01
Deep4Net,54.55
Deep4Net,50.62
Deep4Net,54.28
Deep4Net,51.7
Deep4Net,55.29
Deep4Net,55.25
Deep4Net,54.63
Deep4Net,56.79
Deep4Net,54.94
Deep4Net,58.45
Deep4Net,56.1
Deep4Net,55.9
Deep4Net,57.14
Deep4Net,56.64
Deep4Net,56.56
Deep4Net,57.91
Deep4Net,57.83
Deep4Net,57.99
Deep4Net,57.52
Deep4Net,60.46
Deep4Net,58.53
Deep4Net,55.9
Deep4Net,58.68
Deep4Net,60.92
Deep4Net,57.29
Deep4Net,60.38
Deep4Net,57.25
Deep4Net,60.07
Deep4Net,59.57
Deep4Net,61.23
Deep4Net,58.87
Deep4Net,57.99
Deep4Net,61.27
Deep4Net,59.41
Deep4Net,59.57
Deep4Net,57.56
Deep4Net,61.0
Deep4Net,58.72
Deep4Net,58.95
Deep4Net,60.19
Deep4Net,62.0
Deep4Net,62.92
Deep4Net,61.34
Deep4Net,61.11
Deep4Net,63.08
Deep4Net,59.1
Deep4Net,62.27
Deep4Net,62.04
Deep4Net,60.11
Deep4Net,62.73
Deep4Net,61.69
Deep4Net,61.11
Deep4Net,63.0
Deep4Net,62.35
Deep4Net,59.1
Deep4Net,61.61
Deep4Net,61.61
Deep4Net,59.49
Deep4Net,59.92
Deep4Net,62.15
Deep4Net,59.49
Deep4Net,59.57
Deep4Net,62.65
Deep4Net,61.15
