Subject,Model,Accuracy
1,ATCNet,68.06
2,ATCNet,51.39
3,ATCNet,81.6
4,ATCNet,55.9
5,ATCNet,76.04
6,ATCNet,61.81
7,ATCNet,69.1
8,ATCNet,72.22
9,ATCNet,70.14
1,Deep4Net,60.82
2,Deep4Net,60.82
3,Deep4Net,54.17
4,Deep4Net,61.19
5,Deep4Net,60.56
6,Deep4Net,55.47
7,Deep4Net,60.47
8,Deep4Net,62.07
9,Deep4Net,63.54
1,EEGInceptionMI,58.31
2,EEGInceptionMI,60.43
3,EEGInceptionMI,58.47
4,EEGInceptionMI,61.51
5,EEGInceptionMI,60.56
6,EEGInceptionMI,58.12
6,EEGInceptionMI,61.31
7,EEGInceptionMI,61.62
8,EEGInceptionMI,63.71
9,EEGInceptionMI,64.58
1,EEGNetv1,60.99
2,EEGNetv1,60.47
3,EEGNetv1,72.57
4,EEGNetv1,58.69
5,EEGNetv1,58.43
6,EEGNetv1,59.82
7,EEGNetv1,59.68
8,EEGNetv1,68.56
9,EEGNetv1,66.32
1,ShallowNet,60.88
2,ShallowNet,61.39
3,ShallowNet,61.53
4,ShallowNet,60.06
5,ShallowNet,60.64
6,ShallowNet,40.29
7,ShallowNet,42.71
8,ShallowNet,61.28
9,ShallowNet,60.6
