before model fit
  epoch    train_accuracy    train_loss    valid_acc    valid_accuracy    valid_loss      lr      dur
-------  ----------------  ------------  -----------  ----------------  ------------  ------  -------
      1            0.3333        1.4132       0.2639            0.2639        1.3914  0.0009  11.6719
      2            0.3993        1.4074       0.2431            0.2431        1.3926  0.0009  12.1438
      3            0.4549        1.3861       0.2569            0.2569        1.3918  0.0009  12.4106
      4            0.5139        1.3768       0.2951            0.2951        1.3837  0.0009  10.8339
      5            0.5417        1.3413       0.2917            0.2917        1.3732  0.0009  10.9242
      6            0.5972        1.2969       0.3160            0.3160        1.3608  0.0009  9.9076
      7            0.6424        1.3251       0.3333            0.3333        1.3465  0.0009  10.5517
      8            0.6910        1.2242       0.3507            0.3507        1.3335  0.0009  11.4514
      9            0.7014        1.2049       0.3993            0.3993        1.3157  0.0009  12.4299
     10            0.7118        1.1948       0.4236            0.4236        1.2969  0.0009  10.1993
     11            0.7535        1.2259       0.4132            0.4132        1.2809  0.0009  13.4004
     12            0.7569        1.1314       0.4028            0.4028        1.2734  0.0009  13.4976
     13            0.7639        1.1021       0.4201            0.4201        1.2613  0.0009  9.8635
     14            0.7812        1.0806       0.4340            0.4340        1.2431  0.0009  10.4095
     15            0.8021        1.0737       0.4688            0.4688        1.2139  0.0009  11.0669
     16            0.8090        1.0434       0.4931            0.4931        1.1894  0.0008  9.7157
     17            0.8229        1.0017       0.4722            0.4722        1.1804  0.0008  11.6694
     18            0.8368        0.9126       0.5104            0.5104        1.1417  0.0008  10.1163
     19            0.8438        0.9590       0.5243            0.5243        1.1058  0.0008  10.1456
     20            0.8576        0.8791       0.5521            0.5521        1.0928  0.0008  12.3548
     21            0.8681        0.9048       0.5521            0.5521        1.0694  0.0008  13.4515
     22            0.8507        0.8876       0.5521            0.5521        1.0493  0.0008  13.1468
     23            0.8889        0.8610       0.5903            0.5903        1.0126  0.0008  11.5945
     24            0.8958        0.7919       0.5868            0.5868        0.9974  0.0008  12.3553
     25            0.8924        0.8152       0.5833            0.5833        0.9822  0.0008  12.1831
     26            0.9062        0.8297       0.5799            0.5799        0.9819  0.0008  11.4026
     27            0.9132        0.7937       0.5903            0.5903        0.9585  0.0008  13.9749
     28            0.8993        0.7047       0.6146            0.6146        0.9364  0.0007  16.1758
     29            0.8854        0.6568       0.6250            0.6250        0.9388  0.0007  15.7943
     30            0.9097        0.7015       0.6215            0.6215        0.9269  0.0007  15.9728
     31            0.9062        0.6490       0.6424            0.6424        0.9051  0.0007  13.8494
     32            0.9062        0.6200       0.6181            0.6181        0.9030  0.0007  11.9166
     33            0.9062        0.6421       0.6146            0.6146        0.8943  0.0007  11.7111
     34            0.9167        0.6002       0.6146            0.6146        0.8999  0.0007  11.7351
     35            0.9236        0.5994       0.6215            0.6215        0.8893  0.0007  12.0300
     36            0.9236        0.5893       0.6458            0.6458        0.8601  0.0006  11.9712
     37            0.9340        0.5597       0.6597            0.6597        0.8380  0.0006  11.1116
     38            0.9340        0.5580       0.6424            0.6424        0.8490  0.0006  14.3741
     39            0.9340        0.5427       0.6493            0.6493        0.8425  0.0006  13.9415
     40            0.9479        0.5602       0.6389            0.6389        0.8331  0.0006  14.4263
     41            0.9514        0.5092       0.6562            0.6562        0.8264  0.0006  12.9355
     42            0.9514        0.4582       0.6597            0.6597        0.8315  0.0006  11.2539
     43            0.9583        0.5050       0.6493            0.6493        0.8301  0.0006  10.1855
     44            0.9514        0.5328       0.6667            0.6667        0.8113  0.0005  10.1729
     45            0.9549        0.5119       0.6701            0.6701        0.8172  0.0005  12.9650
     46            0.9514        0.4841       0.6528            0.6528        0.8290  0.0005  12.7539
     47            0.9549        0.4745       0.6528            0.6528        0.8265  0.0005  11.2537
     48            0.9514        0.4891       0.6562            0.6562        0.8278  0.0005  13.4384
     49            0.9618        0.4518       0.6701            0.6701        0.8236  0.0005  14.3771
     50            0.9618        0.4653       0.6771            0.6771        0.7911  0.0005  10.4691
     51            0.9653        0.4413       0.6667            0.6667        0.8056  0.0004  11.7910
     52            0.9722        0.4558       0.6562            0.6562        0.8323  0.0004  15.9906
     53            0.9653        0.4310       0.6597            0.6597        0.8085  0.0004  11.4834
     54            0.9722        0.4102       0.6736            0.6736        0.7980  0.0004  11.6336
     55            0.9757        0.4494       0.6701            0.6701        0.8039  0.0004  12.1288
     56            0.9722        0.4588       0.6736            0.6736        0.7981  0.0004  10.7931
     57            0.9757        0.4169       0.6910            0.6910        0.7922  0.0004  10.2026
     58            0.9826        0.4282       0.6840            0.6840        0.7982  0.0003  11.0607
     59            0.9861        0.4154       0.7014            0.7014        0.7809  0.0003  10.9292
     60            0.9861        0.3862       0.7014            0.7014        0.7692  0.0003  11.4480
     61            0.9826        0.3998       0.6944            0.6944        0.7742  0.0003  11.8887
     62            0.9826        0.3972       0.7014            0.7014        0.7798  0.0003  10.7423
     63            0.9861        0.3651       0.6979            0.6979        0.7778  0.0003  9.9794
     64            0.9792        0.3797       0.6944            0.6944        0.7708  0.0003  9.2145
     65            0.9792        0.3341       0.6944            0.6944        0.7759  0.0003  10.4347
     66            0.9792        0.4132       0.6910            0.6910        0.7713  0.0002  10.1968
     67            0.9757        0.3925       0.6875            0.6875        0.7774  0.0002  11.3678
     68            0.9826        0.3230       0.7083            0.7083        0.7658  0.0002  10.6088
     69            0.9896        0.3717       0.7118            0.7118        0.7620  0.0002  8.6834
     70            0.9896        0.3755       0.7153            0.7153        0.7671  0.0002  9.7739
     71            0.9826        0.3848       0.7014            0.7014        0.7790  0.0002  9.6172
     72            0.9792        0.3090       0.7049            0.7049        0.7892  0.0002  9.8885
     73            0.9792        0.3800       0.7014            0.7014        0.7840  0.0002  9.4572
     74            0.9792        0.4055       0.6979            0.6979        0.7856  0.0001  9.3774
     75            0.9792        0.3797       0.6979            0.6979        0.7840  0.0001  10.6138
     76            0.9896        0.3838       0.6944            0.6944        0.7761  0.0001  10.4740
     77            0.9861        0.3443       0.7014            0.7014        0.7808  0.0001  9.4803
     78            0.9861        0.3180       0.7049            0.7049        0.7824  0.0001  10.2530
     79            0.9861        0.3244       0.7083            0.7083        0.7800  0.0001  10.1642
     80            0.9861        0.3506       0.6979            0.6979        0.7815  0.0001  10.2761
     81            0.9861        0.3870       0.7014            0.7014        0.7795  0.0001  9.6914
     82            0.9826        0.3549       0.6910            0.6910        0.7859  0.0001  10.2057
     83            0.9826        0.3526       0.7014            0.7014        0.7803  0.0001  8.9099
     84            0.9861        0.3462       0.6979            0.6979        0.7785  0.0001  10.7745
     85            0.9861        0.3525       0.6979            0.6979        0.7786  0.0001  14.9261
     86            0.9861        0.3496       0.6979            0.6979        0.7759  0.0000  11.1571
Stopping since valid_loss has not improved in the last 18 epochs.
After model fit
Elapsed time: 1152.4960706233978 seconds
last line of code 
