Model,Accuracy
Deep4Net,29.9
Deep4Net,27.28
Deep4Net,31.91
Deep4Net,35.07
Deep4Net,32.52
Deep4Net,34.18
Deep4Net,40.12
Deep4Net,34.53
Deep4Net,42.82
Deep4Net,42.48
Deep4Net,44.06
Deep4Net,43.67
Deep4Net,48.46
Deep4Net,47.22
Deep4Net,46.57
Deep4Net,46.64
Deep4Net,48.73
Deep4Net,47.69
Deep4Net,47.8
Deep4Net,50.31
Deep4Net,52.01
Deep4Net,54.55
Deep4Net,50.62
Deep4Net,54.28
Deep4Net,51.7
Deep4Net,55.29
Deep4Net,55.25
Deep4Net,54.63
Deep4Net,56.79
Deep4Net,54.94
Deep4Net,58.45
Deep4Net,56.1
Deep4Net,55.9
Deep4Net,57.14
Deep4Net,56.64
Deep4Net,56.56
Deep4Net,57.91
Deep4Net,57.83
Deep4Net,57.99
Deep4Net,57.52
Deep4Net,60.46
Deep4Net,58.53
Deep4Net,55.9
Deep4Net,58.68
Deep4Net,60.92
Deep4Net,57.29
Deep4Net,60.38
Deep4Net,57.25
Deep4Net,60.07
Deep4Net,59.57
Deep4Net,61.23
Deep4Net,58.87
Deep4Net,57.99
Deep4Net,61.27
Deep4Net,59.41
Deep4Net,59.57
Deep4Net,57.56
Deep4Net,61.0
Deep4Net,58.72
Deep4Net,58.95
Deep4Net,60.19
Deep4Net,62.0
Deep4Net,62.92
Deep4Net,61.34
Deep4Net,61.11
Deep4Net,63.08
Deep4Net,59.1
Deep4Net,62.27
Deep4Net,62.04
Deep4Net,60.11
Deep4Net,62.73
Deep4Net,61.69
Deep4Net,61.11
Deep4Net,63.0
Deep4Net,62.35
Deep4Net,59.1
Deep4Net,61.61
Deep4Net,61.61
Deep4Net,59.49
Deep4Net,59.92
Deep4Net,62.15
Deep4Net,59.49
Deep4Net,59.57
Deep4Net,62.65
Deep4Net,61.15
Deep4Net,62.65
Deep4Net,62.27
Deep4Net,62.81
Deep4Net,63.73
Deep4Net,61.65
Deep4Net,62.27
Deep4Net,60.88
Deep4Net,64.27
Deep4Net,61.73
Deep4Net,62.27
Deep4Net,62.65
Deep4Net,60.92
Deep4Net,62.92
Deep4Net,62.73
