  epoch    train_accuracy    train_loss    valid_acc    valid_accuracy    valid_loss      lr      dur
-------  ----------------  ------------  -----------  ----------------  ------------  ------  -------
      1            0.3106        2.7250       0.2990            0.2990        1.4389  0.0200  83.5848
      2            0.2774        1.4366       0.2728            0.2728        1.5993  0.0200  94.0875
      3            0.3268        1.4398       0.3191            0.3191        1.4024  0.0200  95.5744
      4            0.3708        1.3406       0.3507            0.3507        1.3440  0.0200  95.7872
      5            0.3546        1.3264       0.3252            0.3252        1.4012  0.0200  92.9452
      6            0.3823        1.2812       0.3418            0.3418        1.3226  0.0200  93.6602
      7            0.4279        1.2689       0.4012            0.4012        1.2683  0.0200  92.7563
      8            0.3789        1.2339       0.3453            0.3453        1.3448  0.0200  91.8095
      9            0.4653        1.2300       0.4282            0.4282        1.2366  0.0200  91.5523
     10            0.4780        1.1979       0.4248            0.4248        1.2318  0.0200  92.6530
     11            0.4865        1.1798       0.4406            0.4406        1.2149  0.0200  92.8415
     12            0.4904        1.1631       0.4367            0.4367        1.2327  0.0200  92.8569
     13            0.5305        1.1583       0.4846            0.4846        1.1935  0.0200  109.9932
     14            0.5228        1.1551       0.4722            0.4722        1.2008  0.0200  128.7298
     15            0.5432        1.1492       0.4657            0.4657        1.1735  0.0200  120.0309
     16            0.5536        1.1236       0.4664            0.4664        1.1859  0.0200  123.8003
     17            0.5629        1.1144       0.4873            0.4873        1.1707  0.0200  122.7872
     18            0.5660        1.1034       0.4769            0.4769        1.1916  0.0200  122.1987
     19            0.5405        1.0926       0.4780            0.4780        1.1874  0.0200  122.6769
     20            0.5644        1.0961       0.5031            0.5031        1.1511  0.0200  119.7991
     21            0.6015        1.0599       0.5201            0.5201        1.1127  0.0200  119.6691
     22            0.6254        1.0683       0.5455            0.5455        1.0893  0.0200  120.3812
     23            0.5567        1.0552       0.5062            0.5062        1.1763  0.0200  122.7996
     24            0.6331        1.0611       0.5428            0.5428        1.0824  0.0200  121.5156
     25            0.5876        1.0370       0.5170            0.5170        1.1119  0.0200  120.8375
     26            0.6231        1.0489       0.5529            0.5529        1.0748  0.0200  119.8311
     27            0.6590        1.0223       0.5525            0.5525        1.0547  0.0200  122.2111
     28            0.6447        1.0124       0.5463            0.5463        1.0719  0.0200  121.1551
     29            0.6539        1.0078       0.5679            0.5679        1.0333  0.0200  124.1769
     30            0.6242        1.0047       0.5494            0.5494        1.0649  0.0200  121.3368
     31            0.6728        0.9928       0.5845            0.5845        1.0185  0.0200  122.5377
     32            0.6701        1.0034       0.5610            0.5610        1.0344  0.0200  123.7369
     33            0.6582        1.0038       0.5590            0.5590        1.0481  0.0199  120.9574
     34            0.6833        0.9655       0.5714            0.5714        1.0335  0.0199  123.3141
     35            0.6613        0.9800       0.5664            0.5664        1.0299  0.0199  123.3561
     36            0.6713        0.9515       0.5656            0.5656        1.0372  0.0199  123.0367
     37            0.6952        0.9513       0.5791            0.5791        0.9945  0.0199  122.4567
     38            0.6906        0.9685       0.5783            0.5783        1.0188  0.0199  123.1720
     39            0.6910        0.9637       0.5799            0.5799        0.9990  0.0199  121.3542
     40            0.6848        0.9534       0.5752            0.5752        1.0158  0.0199  121.0817
     41            0.7122        0.9590       0.6046            0.6046        0.9667  0.0199  122.5783
     42            0.6883        0.9443       0.5853            0.5853        1.0037  0.0199  122.2321
     43            0.6821        0.9473       0.5590            0.5590        1.0323  0.0199  121.4661
     44            0.6987        0.9286       0.5868            0.5868        1.0038  0.0199  119.8483
     45            0.7207        0.9383       0.6092            0.6092        0.9616  0.0199  118.8057
     46            0.6852        0.9113       0.5729            0.5729        1.0301  0.0199  119.5895
     47            0.7226        0.9103       0.6038            0.6038        0.9655  0.0199  121.1665
     48            0.6991        0.9243       0.5725            0.5725        1.0164  0.0199  122.1200
     49            0.7407        0.9101       0.6007            0.6007        0.9683  0.0199  122.7480
     50            0.7299        0.8941       0.5957            0.5957        0.9698  0.0199  122.6422
     51            0.7342        0.9003       0.6123            0.6123        0.9678  0.0199  121.7908
     52            0.7218        0.8916       0.5887            0.5887        0.9912  0.0199  122.9073
     53            0.7033        0.9022       0.5799            0.5799        0.9872  0.0199  122.0141
     54            0.7523        0.8865       0.6127            0.6127        0.9333  0.0199  121.6719
     55            0.7369        0.9055       0.5941            0.5941        0.9652  0.0199  120.8633
     56            0.7234        0.8627       0.5957            0.5957        0.9723  0.0199  122.2198
     57            0.7211        0.9151       0.5756            0.5756        0.9836  0.0198  121.7170
     58            0.7542        0.8895       0.6100            0.6100        0.9515  0.0198  123.1619
