Subject,Model,Accuracy
1,Deep4Net,25.35
1,Deep4Net,25.35
1,Deep4Net,24.65
1,Deep4Net,26.04
1,Deep4Net,23.26
1,Deep4Net,28.12
1,Deep4Net,26.04
1,Deep4Net,23.61
1,Deep4Net,23.96
1,Deep4Net,25.69
1,Deep4Net,27.08
1,Deep4Net,24.65
1,Deep4Net,25.35
1,Deep4Net,30.56
1,Deep4Net,30.9
1,Deep4Net,32.64
1,Deep4Net,39.24
1,Deep4Net,42.01
1,Deep4Net,41.67
1,Deep4Net,44.44
1,Deep4Net,44.1
1,Deep4Net,48.96
1,Deep4Net,53.47
1,Deep4Net,45.49
1,Deep4Net,47.57
1,Deep4Net,48.26
1,Deep4Net,46.18
1,Deep4Net,46.18
1,Deep4Net,47.22
1,Deep4Net,50.35
1,Deep4Net,47.57
1,Deep4Net,51.39
1,Deep4Net,50.0
1,Deep4Net,47.57
1,Deep4Net,52.08
1,Deep4Net,48.96
1,Deep4Net,50.0
1,Deep4Net,51.04
1,Deep4Net,51.39
1,Deep4Net,52.08
1,Deep4Net,54.86
1,Deep4Net,46.88
1,Deep4Net,53.12
1,Deep4Net,51.74
1,Deep4Net,48.96
1,Deep4Net,49.31
1,Deep4Net,51.39
1,Deep4Net,51.04
1,Deep4Net,52.08
1,Deep4Net,54.86
1,Deep4Net,51.39
1,Deep4Net,53.82
1,Deep4Net,51.04
1,Deep4Net,51.39
1,Deep4Net,52.78
1,Deep4Net,51.39
1,Deep4Net,53.82
1,Deep4Net,51.39
1,Deep4Net,52.08
1,Deep4Net,51.74
1,Deep4Net,54.17
1,Deep4Net,54.51
1,Deep4Net,52.43
1,Deep4Net,53.47
1,Deep4Net,53.12
1,Deep4Net,52.08
1,Deep4Net,53.82
2,Deep4Net,25.35
2,Deep4Net,25.0
2,Deep4Net,24.31
2,Deep4Net,26.74
2,Deep4Net,28.47
2,Deep4Net,28.12
2,Deep4Net,25.69
2,Deep4Net,25.69
2,Deep4Net,25.0
2,Deep4Net,25.69
2,Deep4Net,28.82
2,Deep4Net,25.0
2,Deep4Net,25.0
2,Deep4Net,24.65
2,Deep4Net,25.0
2,Deep4Net,23.61
2,Deep4Net,25.35
2,Deep4Net,24.65
2,Deep4Net,26.39
2,Deep4Net,24.65
2,Deep4Net,24.65
2,Deep4Net,23.96
2,Deep4Net,28.82
2,Deep4Net,23.96
2,Deep4Net,27.43
2,Deep4Net,27.78
2,Deep4Net,23.96
2,Deep4Net,26.39
3,Deep4Net,25.0
3,Deep4Net,24.65
3,Deep4Net,23.96
3,Deep4Net,31.94
3,Deep4Net,35.07
3,Deep4Net,35.42
3,Deep4Net,38.54
3,Deep4Net,35.42
3,Deep4Net,35.76
3,Deep4Net,36.81
3,Deep4Net,36.46
3,Deep4Net,33.33
3,Deep4Net,37.85
3,Deep4Net,31.6
3,Deep4Net,35.07
3,Deep4Net,41.32
3,Deep4Net,38.89
3,Deep4Net,31.94
3,Deep4Net,39.58
3,Deep4Net,39.93
3,Deep4Net,34.72
3,Deep4Net,39.93
3,Deep4Net,44.1
3,Deep4Net,38.19
3,Deep4Net,43.06
3,Deep4Net,44.1
3,Deep4Net,46.88
3,Deep4Net,44.79
3,Deep4Net,45.14
3,Deep4Net,42.36
3,Deep4Net,47.92
3,Deep4Net,49.31
3,Deep4Net,46.88
3,Deep4Net,52.43
3,Deep4Net,48.61
3,Deep4Net,47.22
3,Deep4Net,48.61
3,Deep4Net,51.74
3,Deep4Net,48.61
3,Deep4Net,47.92
3,Deep4Net,48.26
3,Deep4Net,48.61
3,Deep4Net,48.61
3,Deep4Net,51.39
3,Deep4Net,49.65
3,Deep4Net,46.18
3,Deep4Net,48.96
3,Deep4Net,47.57
3,Deep4Net,47.92
3,Deep4Net,47.57
3,Deep4Net,50.0
3,Deep4Net,51.04
3,Deep4Net,51.74
3,Deep4Net,52.43
3,Deep4Net,49.31
3,Deep4Net,49.31
3,Deep4Net,51.04
3,Deep4Net,51.04
3,Deep4Net,52.78
3,Deep4Net,52.08
3,Deep4Net,51.04
3,Deep4Net,53.12
3,Deep4Net,50.0
3,Deep4Net,52.43
3,Deep4Net,53.82
3,Deep4Net,53.47
3,Deep4Net,49.65
3,Deep4Net,51.74
3,Deep4Net,52.43
3,Deep4Net,51.74
3,Deep4Net,52.78
3,Deep4Net,52.43
3,Deep4Net,53.12
3,Deep4Net,52.43
3,Deep4Net,53.12
3,Deep4Net,52.08
3,Deep4Net,52.43
3,Deep4Net,52.43
3,Deep4Net,52.08
3,Deep4Net,51.39
3,Deep4Net,50.69
3,Deep4Net,51.74
3,Deep4Net,53.12
3,Deep4Net,51.74
3,Deep4Net,52.43
3,Deep4Net,51.74
3,Deep4Net,53.12
3,Deep4Net,54.17
3,Deep4Net,54.17
3,Deep4Net,54.86
3,Deep4Net,54.86
3,Deep4Net,54.51
3,Deep4Net,54.17
3,Deep4Net,54.51
3,Deep4Net,54.51
3,Deep4Net,54.86
3,Deep4Net,54.17
3,Deep4Net,54.17
3,Deep4Net,54.17
4,Deep4Net,25.0
4,Deep4Net,27.08
4,Deep4Net,25.69
4,Deep4Net,28.47
4,Deep4Net,25.35
4,Deep4Net,31.6
4,Deep4Net,28.82
4,Deep4Net,35.76
4,Deep4Net,32.99
4,Deep4Net,31.6
4,Deep4Net,28.82
4,Deep4Net,27.78
4,Deep4Net,30.9
4,Deep4Net,30.56
4,Deep4Net,28.82
4,Deep4Net,31.94
4,Deep4Net,33.68
4,Deep4Net,32.99
4,Deep4Net,33.33
4,Deep4Net,36.81
4,Deep4Net,29.17
4,Deep4Net,32.99
4,Deep4Net,35.42
4,Deep4Net,34.03
4,Deep4Net,39.58
4,Deep4Net,33.68
4,Deep4Net,36.11
4,Deep4Net,33.68
4,Deep4Net,35.07
4,Deep4Net,37.15
4,Deep4Net,34.72
4,Deep4Net,36.81
4,Deep4Net,33.33
4,Deep4Net,37.15
4,Deep4Net,39.58
4,Deep4Net,33.33
4,Deep4Net,37.15
4,Deep4Net,38.89
4,Deep4Net,39.24
4,Deep4Net,35.42
4,Deep4Net,35.76
4,Deep4Net,33.33
4,Deep4Net,36.11
4,Deep4Net,34.03
4,Deep4Net,34.38
4,Deep4Net,38.54
4,Deep4Net,34.72
4,Deep4Net,37.5
4,Deep4Net,36.46
4,Deep4Net,38.19
4,Deep4Net,37.85
4,Deep4Net,39.24
5,Deep4Net,25.0
5,Deep4Net,25.0
5,Deep4Net,23.61
5,Deep4Net,23.96
5,Deep4Net,28.82
5,Deep4Net,26.04
5,Deep4Net,24.65
5,Deep4Net,26.39
5,Deep4Net,25.35
5,Deep4Net,25.69
5,Deep4Net,27.78
5,Deep4Net,25.0
5,Deep4Net,28.82
