  epoch    train_accuracy    train_loss    valid_acc    valid_accuracy    valid_loss      lr      dur
-------  ----------------  ------------  -----------  ----------------  ------------  ------  -------
      1            0.2743        5.4667       0.2917            0.2917        8.4757  0.0200  25.4501
      2            0.2639        2.2075       0.2639            0.2639       10.3281  0.0200  23.3416
      3            0.3958        1.9067       0.3229            0.3229        2.4396  0.0200  22.3942
      4            0.4965        1.4769       0.3854            0.3854        1.5418  0.0200  22.4047
      5            0.4375        1.4682       0.4514            0.4514        1.4179  0.0199  21.2610
      6            0.4757        1.3102       0.3542            0.3542        1.3019  0.0199  21.0725
      7            0.4479        1.2170       0.4201            0.4201        1.3394  0.0198  21.5527
      8            0.5069        1.1295       0.4028            0.4028        1.2711  0.0198  21.2843
      9            0.4965        1.1844       0.4028            0.4028        1.2768  0.0197  19.8588
     10            0.4236        1.1251       0.4132            0.4132        1.2828  0.0196  22.1152
     11            0.3715        1.1510       0.3576            0.3576        1.4947  0.0195  21.3429
     12            0.4688        1.0919       0.4097            0.4097        1.3018  0.0194  25.1765
     13            0.5417        1.0788       0.4549            0.4549        1.1575  0.0193  24.2821
     14            0.4479        1.0134       0.3472            0.3472        1.4701  0.0192  24.2084
     15            0.4826        0.9905       0.3854            0.3854        1.2565  0.0190  23.6658
     16            0.5347        1.0341       0.4896            0.4896        1.2212  0.0189  25.4266
     17            0.5417        0.9988       0.4132            0.4132        1.1448  0.0187  21.3915
     18            0.5174        0.9764       0.3507            0.3507        1.2647  0.0186  20.7884
     19            0.5590        1.0380       0.5312            0.5312        1.1116  0.0184  21.8747
     20            0.5174        0.9155       0.4444            0.4444        1.2256  0.0182  22.2915
     21            0.6007        0.9619       0.5104            0.5104        1.1057  0.0181  22.1256
     22            0.6424        0.8802       0.4896            0.4896        1.1069  0.0179  20.9589
     23            0.5729        0.8365       0.4757            0.4757        1.2109  0.0177  21.3307
     24            0.7083        0.9137       0.5278            0.5278        1.0219  0.0175  22.3773
     25            0.6146        0.8395       0.5521            0.5521        1.0449  0.0172  22.3308
     26            0.7569        0.8433       0.5208            0.5208        1.0740  0.0170  20.8411
     27            0.6840        0.7211       0.5312            0.5312        1.0621  0.0168  24.6276
     28            0.7188        0.7185       0.5590            0.5590        1.0471  0.0165  25.0524
     29            0.6771        0.7854       0.5521            0.5521        1.1193  0.0163  25.0162
     30            0.7569        0.7464       0.6250            0.6250        0.9125  0.0161  23.4887
     31            0.7118        0.8049       0.6076            0.6076        1.0233  0.0158  22.1664
     32            0.7257        0.7197       0.5694            0.5694        1.0181  0.0155  20.4768
     33            0.7708        0.6889       0.6181            0.6181        0.9421  0.0153  20.9181
     34            0.7257        0.6447       0.6146            0.6146        0.9510  0.0150  21.2204
     35            0.7708        0.6217       0.5938            0.5938        0.9944  0.0147  20.1450
     36            0.7326        0.5635       0.5903            0.5903        1.0159  0.0144  22.1451
     37            0.7917        0.6344       0.5903            0.5903        1.0532  0.0142  22.0141
     38            0.7014        0.6438       0.5694            0.5694        1.0826  0.0139  21.8194
     39            0.8090        0.6297       0.6007            0.6007        1.0949  0.0136  22.2200
     40            0.8021        0.5504       0.6354            0.6354        1.0081  0.0133  23.4324
     41            0.8299        0.5436       0.6181            0.6181        0.9819  0.0130  25.1231
     42            0.7361        0.5527       0.6076            0.6076        1.0820  0.0127  26.1924
     43            0.8021        0.6175       0.6181            0.6181        1.0567  0.0124  24.7641
     44            0.8021        0.5367       0.6528            0.6528        0.9761  0.0120  20.8920
     45            0.8229        0.5593       0.6007            0.6007        1.0541  0.0117  21.3576
     46            0.7882        0.5416       0.6354            0.6354        0.9900  0.0114  21.9408
     47            0.8507        0.5353       0.6285            0.6285        0.9602  0.0111  20.2894
Stopping since valid_loss has not improved in the last 18 epochs.
Elapsed time: 1300.8208158016205 seconds
