Model,Accuracy
EEGInceptionMI,24.61
EEGInceptionMI,26.31
EEGInceptionMI,24.73
EEGInceptionMI,27.01
EEGInceptionMI,26.62
EEGInceptionMI,26.31
EEGInceptionMI,29.9
EEGInceptionMI,28.47
EEGInceptionMI,27.24
EEGInceptionMI,27.35
EEGInceptionMI,30.59
EEGInceptionMI,30.71
EEGInceptionMI,36.77
EEGInceptionMI,30.32
EEGInceptionMI,33.18
EEGInceptionMI,42.05
EEGInceptionMI,38.19
EEGInceptionMI,36.61
EEGInceptionMI,43.75
EEGInceptionMI,42.28
EEGInceptionMI,50.54
EEGInceptionMI,39.66
EEGInceptionMI,39.62
EEGInceptionMI,54.21
EEGInceptionMI,48.73
EEGInceptionMI,49.04
EEGInceptionMI,53.63
EEGInceptionMI,50.73
EEGInceptionMI,57.37
EEGInceptionMI,48.53
EEGInceptionMI,62.11
EEGInceptionMI,48.92
EEGInceptionMI,54.01
EEGInceptionMI,49.38
EEGInceptionMI,41.55
EEGInceptionMI,58.8
EEGInceptionMI,55.13
EEGInceptionMI,56.98
EEGInceptionMI,59.95
EEGInceptionMI,51.7
EEGInceptionMI,49.73
EEGInceptionMI,60.49
EEGInceptionMI,57.25
EEGInceptionMI,48.96
EEGInceptionMI,48.69
EEGInceptionMI,64.12
EEGInceptionMI,56.79
EEGInceptionMI,60.73
EEGInceptionMI,57.95
EEGInceptionMI,59.88
EEGInceptionMI,61.73
EEGInceptionMI,61.88
EEGInceptionMI,60.22
EEGInceptionMI,58.22
EEGInceptionMI,61.38
EEGInceptionMI,56.52
EEGInceptionMI,49.34
EEGInceptionMI,56.4
EEGInceptionMI,47.96
EEGInceptionMI,63.12
EEGInceptionMI,62.27
EEGInceptionMI,60.26
EEGInceptionMI,58.64
EEGInceptionMI,57.6
EEGInceptionMI,49.73
EEGInceptionMI,59.99
EEGInceptionMI,63.39
EEGInceptionMI,57.52
EEGInceptionMI,56.21
EEGInceptionMI,53.51
EEGInceptionMI,57.95
EEGInceptionMI,60.76
EEGInceptionMI,60.96
EEGInceptionMI,58.56
EEGInceptionMI,59.1
EEGInceptionMI,61.69
EEGInceptionMI,62.65
EEGInceptionMI,59.38
EEGInceptionMI,53.09
EEGInceptionMI,60.15
EEGInceptionMI,61.23
EEGInceptionMI,54.32
EEGInceptionMI,59.65
EEGInceptionMI,59.68
EEGInceptionMI,56.79
EEGInceptionMI,54.36
EEGInceptionMI,54.48
EEGInceptionMI,62.11
EEGInceptionMI,51.7
EEGInceptionMI,50.54
EEGInceptionMI,59.88
EEGInceptionMI,59.92
EEGInceptionMI,59.8
EEGInceptionMI,55.9
EEGInceptionMI,59.84
EEGInceptionMI,57.75
EEGInceptionMI,59.34
EEGInceptionMI,60.65
EEGInceptionMI,56.94
