  epoch    train_accuracy    train_loss    valid_acc    valid_accuracy    valid_loss      lr        dur
-------  ----------------  ------------  -----------  ----------------  ------------  ------  ---------
      1            0.2824        1.4799       0.2797            0.2797        1.4163  0.0050  7316.7028
      2            0.2982        1.3957       0.2693            0.2693        1.3975  0.0050  6144.5642
      3            0.3052        1.3924       0.2828            0.2828        1.4289  0.0050  5042.7017
      4            0.2785        1.3363       0.2735            0.2735        1.3817  0.0050  4928.2488
      5            0.3507        1.2777       0.3272            0.3272        1.3638  0.0050  4272.1405
      6            0.3619        1.2092       0.3611            0.3611        1.4465  0.0050  3990.9689
      7            0.3978        1.1492       0.3596            0.3596        1.7026  0.0050  3682.2653
      8            0.4776        1.0849       0.3981            0.3981        1.3737  0.0050  2493.1948
      9            0.6107        1.0076       0.4294            0.4294        1.2478  0.0050  1701.0704
     10            0.4599        0.8854       0.3642            0.3642        3.5130  0.0050  1716.0313
     11            0.4973        0.7741       0.3881            0.3881        1.9797  0.0050  1694.3735
     12            0.3673        0.6207       0.3013            0.3013        2.7730  0.0050  1702.2684
     13            0.5532        0.5190       0.3688            0.3688        3.4307  0.0050  1708.3839
     14            0.3160        0.4123       0.2793            0.2793        3.6317  0.0049  1713.3925
     15            0.7392        0.3563       0.4008            0.4008        2.4587  0.0049  1680.8236
     16            0.8453        0.2583       0.4275            0.4275        2.4382  0.0049  1695.8510
     17            0.7978        0.2073       0.4630            0.4630        3.1392  0.0049  1701.2045
     18            0.4529        0.1675       0.3310            0.3310       11.4578  0.0049  1701.4408
     19            0.9522        0.1506       0.4417            0.4417        2.9044  0.0049  1693.1711
     20            0.8461        0.1162       0.4090            0.4090        3.2713  0.0049  1704.5926
     21            0.9722        0.1202       0.4525            0.4525        2.6608  0.0049  1699.7317
     22            0.9711        0.0927       0.4460            0.4460        2.3738  0.0049  1683.0033
     23            0.6516        0.1285       0.3515            0.3515        4.1868  0.0049  1721.2828
     24            0.9668        0.0675       0.4383            0.4383        3.0925  0.0048  1710.4404
     25            0.9738        0.0417       0.4556            0.4556        3.2901  0.0048  1713.5874
     26            0.9684        0.0385       0.4649            0.4649        3.4810  0.0048  1709.3303
     27            0.8322        0.0548       0.3935            0.3935        5.2360  0.0048  1714.3960
     28            0.9853        0.0548       0.4853            0.4853        3.0409  0.0048  1717.0829
Stopping since valid_loss has not improved in the last 20 epochs.
Elapsed time: 86252.93917560577 seconds
