  epoch    train_accuracy    train_loss    valid_acc    valid_accuracy    valid_loss      lr       dur
-------  ----------------  ------------  -----------  ----------------  ------------  ------  --------
      1            0.2500        2.5461       0.2500            0.2500     2304.7255  0.0200  747.0599
      2            0.2500        1.7926       0.2500            0.2500      115.8074  0.0200  736.3426
      3            0.2465        1.4528       0.2500            0.2500        9.0988  0.0200  748.5271
      4            0.2361        1.3591       0.2188            0.2188        6.1466  0.0200  754.6241
      5            0.3854        1.2931       0.3264            0.3264        1.5840  0.0199  736.6036
      6            0.2812        1.2725       0.2986            0.2986        1.5392  0.0199  735.5995
      7            0.5104        1.2160       0.4236            0.4236        1.1952  0.0198  742.1902
      8            0.3611        1.2389       0.3854            0.3854        2.9507  0.0198  735.5658
      9            0.2500        1.1501       0.2500            0.2500        4.5628  0.0197  737.2821
     10            0.3194        1.1711       0.2639            0.2639        2.5850  0.0196  729.3303
     11            0.4965        1.0695       0.3542            0.3542        1.4023  0.0195  732.5363
     12            0.4688        1.0402       0.3576            0.3576        2.0837  0.0194  745.2967
     13            0.5486        0.9741       0.4167            0.4167        2.2742  0.0193  756.8567
     14            0.4722        0.9298       0.3785            0.3785        2.1257  0.0192  738.0944
     15            0.4201        0.8166       0.3160            0.3160        2.6007  0.0190  741.0709
     16            0.5035        0.7367       0.3785            0.3785        2.0613  0.0189  727.4445
     17            0.5104        0.7112       0.4028            0.4028        4.4498  0.0187  762.3139
     18            0.6250        0.7165       0.4583            0.4583        1.9321  0.0186  765.0963
     19            0.7257        0.6434       0.4931            0.4931        2.0476  0.0184  734.7305
     20            0.7396        0.5135       0.5694            0.5694        1.0649  0.0182  746.3431
     21            0.6458        0.5416       0.4167            0.4167        1.8151  0.0181  745.7478
     22            0.2500        0.5561       0.2500            0.2500        8.4194  0.0179  728.6815
     23            0.5278        0.4433       0.4306            0.4306        3.9419  0.0177  734.8037
     24            0.5312        0.5871       0.3750            0.3750        4.2327  0.0175  762.9316
     25            0.6007        0.5659       0.3993            0.3993        1.5081  0.0172  735.4940
     26            0.5174        0.4655       0.3750            0.3750        1.5747  0.0170  748.7450
     27            0.8056        0.5083       0.5556            0.5556        1.5420  0.0168  726.5356
     28            0.5625        0.3966       0.4167            0.4167        3.0934  0.0165  734.9711
     29            0.6424        0.3202       0.4375            0.4375        5.8107  0.0163  748.4423
     30            0.7222        0.2263       0.5694            0.5694        1.7218  0.0161  730.1894
     31            0.7743        0.2001       0.5417            0.5417        2.3857  0.0158  735.7302
     32            0.9340        0.1616       0.5938            0.5938        1.3278  0.0155  761.5976
     33            0.8472        0.2157       0.5035            0.5035        2.9528  0.0153  754.2114
     34            0.8889        0.1509       0.6389            0.6389        1.7179  0.0150  749.5297
     35            0.8958        0.1700       0.5243            0.5243        1.9264  0.0147  767.2896
     36            0.8889        0.1622       0.5347            0.5347        1.7805  0.0144  739.0480
     37            0.9514        0.1717       0.6458            0.6458        1.6293  0.0142  761.8569
Stopping since valid_loss has not improved in the last 18 epochs.
Elapsed time: 32262.955374717712 seconds
