Model,Accuracy
EEGNetv1,27.43
EEGNetv1,33.22
EEGNetv1,37.85
EEGNetv1,42.28
EEGNetv1,41.13
EEGNetv1,42.98
EEGNetv1,42.05
EEGNetv1,42.75
EEGNetv1,46.76
EEGNetv1,46.18
EEGNetv1,49.61
EEGNetv1,48.23
EEGNetv1,48.96
EEGNetv1,48.57
EEGNetv1,50.42
EEGNetv1,50.69
EEGNetv1,49.77
EEGNetv1,49.81
EEGNetv1,50.85
EEGNetv1,53.2
EEGNetv1,49.92
EEGNetv1,53.24
EEGNetv1,51.39
EEGNetv1,48.69
EEGNetv1,51.16
EEGNetv1,50.19
EEGNetv1,53.59
EEGNetv1,53.86
EEGNetv1,52.93
EEGNetv1,50.54
EEGNetv1,50.77
EEGNetv1,55.98
EEGNetv1,55.59
EEGNetv1,56.33
EEGNetv1,54.48
EEGNetv1,55.79
EEGNetv1,56.17
EEGNetv1,54.09
EEGNetv1,53.24
EEGNetv1,55.9
EEGNetv1,57.6
EEGNetv1,57.68
EEGNetv1,55.67
EEGNetv1,57.52
EEGNetv1,58.6
EEGNetv1,54.05
EEGNetv1,52.39
EEGNetv1,61.23
EEGNetv1,59.95
EEGNetv1,56.33
EEGNetv1,60.8
EEGNetv1,61.27
EEGNetv1,64.51
EEGNetv1,63.27
EEGNetv1,58.8
EEGNetv1,61.81
EEGNetv1,64.74
EEGNetv1,64.16
EEGNetv1,61.34
EEGNetv1,58.72
EEGNetv1,61.61
EEGNetv1,62.42
EEGNetv1,63.04
EEGNetv1,58.72
EEGNetv1,61.46
EEGNetv1,62.69
EEGNetv1,61.11
EEGNetv1,60.84
EEGNetv1,63.04
EEGNetv1,61.19
EEGNetv1,61.57
EEGNetv1,63.89
EEGNetv1,65.01
EEGNetv1,60.03
EEGNetv1,64.62
EEGNetv1,62.23
EEGNetv1,64.16
EEGNetv1,63.04
EEGNetv1,66.82
EEGNetv1,55.86
EEGNetv1,64.85
EEGNetv1,64.24
EEGNetv1,64.7
EEGNetv1,66.01
EEGNetv1,65.16
EEGNetv1,65.39
EEGNetv1,66.01
EEGNetv1,66.51
EEGNetv1,65.47
EEGNetv1,66.94
EEGNetv1,62.0
EEGNetv1,63.12
EEGNetv1,65.32
EEGNetv1,62.77
EEGNetv1,65.62
EEGNetv1,61.77
EEGNetv1,63.35
EEGNetv1,65.59
EEGNetv1,65.78
