  epoch    train_accuracy    train_loss    valid_acc    valid_accuracy    valid_loss      lr      dur
-------  ----------------  ------------  -----------  ----------------  ------------  ------  -------
      1            0.2894        1.8043       0.2894            0.2894        1.3891  0.0006  84.1988
      2            0.2890        1.6507       0.2712            0.2712        1.3893  0.0006  88.4147
      3            0.3048        1.5528       0.2693            0.2693        1.3889  0.0006  78.9004
      4            0.3102        1.4982       0.2851            0.2851        1.4056  0.0006  85.2853
      5            0.3148        1.4318       0.2789            0.2789        1.4278  0.0006  83.0869
      6            0.2932        1.3850       0.2739            0.2739        1.4777  0.0006  87.6472
      7            0.3476        1.3694       0.3183            0.3183        1.3863  0.0006  78.6023
      8            0.3160        1.3588       0.2905            0.2905        1.4263  0.0006  85.5674
      9            0.2971        1.3362       0.2878            0.2878        1.4663  0.0006  80.9036
     10            0.3171        1.3228       0.2913            0.2913        1.4380  0.0006  80.4247
     11            0.3526        1.3033       0.3144            0.3144        1.4058  0.0006  52.6212
     12            0.3422        1.3063       0.3117            0.3117        1.3944  0.0006  69.0496
     13            0.3723        1.2828       0.3272            0.3272        1.3686  0.0006  101.4246
     14            0.3854        1.2728       0.3322            0.3322        1.4149  0.0006  109.6035
     15            0.3711        1.2761       0.3291            0.3291        1.4094  0.0006  128.4052
     16            0.4309        1.2653       0.3627            0.3627        1.3411  0.0006  153.6208
     17            0.3708        1.2402       0.3318            0.3318        1.3735  0.0006  75.0557
     18            0.4390        1.2284       0.3654            0.3654        1.3417  0.0006  79.9525
     19            0.4225        1.2282       0.3546            0.3546        1.3658  0.0006  49.5522
     20            0.4232        1.2170       0.3549            0.3549        1.3872  0.0006  43.3973
     21            0.4190        1.1833       0.3584            0.3584        1.3908  0.0006  46.1200
     22            0.4228        1.1891       0.3600            0.3600        1.3854  0.0006  50.7777
     23            0.4556        1.1845       0.3816            0.3816        1.3404  0.0006  61.2485
     24            0.4599        1.1646       0.3738            0.3738        1.3625  0.0006  69.0066
     25            0.4379        1.1598       0.3661            0.3661        1.3595  0.0006  87.7906
     26            0.4946        1.1488       0.4005            0.4005        1.3239  0.0006  120.4171
     27            0.4934        1.1341       0.3954            0.3954        1.3217  0.0006  112.4798
     28            0.4919        1.1285       0.4047            0.4047        1.3200  0.0006  123.9870
     29            0.4788        1.1073       0.3993            0.3993        1.3161  0.0006  126.6705
     30            0.4834        1.1023       0.4001            0.4001        1.3004  0.0006  131.4078
     31            0.5278        1.0866       0.4205            0.4205        1.2839  0.0006  128.5427
     32            0.5374        1.0756       0.4321            0.4321        1.2749  0.0006  132.8123
     33            0.5436        1.0588       0.4452            0.4452        1.2475  0.0006  120.7275
     34            0.5309        1.0409       0.4221            0.4221        1.2963  0.0006  128.1187
     35            0.5343        1.0458       0.4356            0.4356        1.2761  0.0006  132.9125
     36            0.5529        1.0415       0.4537            0.4537        1.2433  0.0006  131.6035
     37            0.5664        1.0110       0.4556            0.4556        1.2206  0.0006  128.4136
     38            0.5691        1.0083       0.4630            0.4630        1.2254  0.0006  128.7965
     39            0.5694        1.0053       0.4564            0.4564        1.2222  0.0006  127.6177
     40            0.5428        1.0003       0.4506            0.4506        1.2481  0.0006  128.8422
     41            0.5579        1.0227       0.4525            0.4525        1.2500  0.0006  123.9605
     42            0.6057        0.9905       0.4715            0.4715        1.1927  0.0006  123.3320
     43            0.5891        0.9841       0.4695            0.4695        1.2162  0.0006  130.3830
     44            0.6019        0.9770       0.4668            0.4668        1.2020  0.0006  121.3235
     45            0.5938        0.9636       0.4695            0.4695        1.2081  0.0006  130.1466
     46            0.6026        0.9598       0.4749            0.4749        1.1953  0.0006  132.5532
     47            0.6154        0.9522       0.4765            0.4765        1.1905  0.0006  124.0498
     48            0.6177        0.9520       0.4819            0.4819        1.1939  0.0006  127.0681
     49            0.5907        0.9449       0.4676            0.4676        1.2120  0.0006  131.6641
     50            0.6142        0.9367       0.4761            0.4761        1.1908  0.0006  125.4374
     51            0.6269        0.9267       0.4819            0.4819        1.1783  0.0006  127.7856
     52            0.6362        0.9312       0.4857            0.4857        1.1700  0.0006  121.9902
     53            0.6235        0.9359       0.4799            0.4799        1.1801  0.0006  128.8577
     54            0.6343        0.9114       0.4900            0.4900        1.1811  0.0006  127.0913
     55            0.6400        0.9100       0.4900            0.4900        1.1660  0.0006  131.2446
     56            0.6362        0.9101       0.4931            0.4931        1.1730  0.0006  132.0353
     57            0.6497        0.9057       0.4907            0.4907        1.1637  0.0006  125.4815
     58            0.6300        0.8882       0.4869            0.4869        1.1833  0.0006  127.7656
     59            0.6559        0.9063       0.4958            0.4958        1.1500  0.0006  130.5494
     60            0.6343        0.9021       0.4873            0.4873        1.1833  0.0006  127.8014
     61            0.6551        0.8863       0.4938            0.4938        1.1628  0.0006  142.4656
     62            0.6551        0.8884       0.4985            0.4985        1.1755  0.0006  147.6469
     63            0.6852        0.8888       0.5073            0.5073        1.1322  0.0006  137.9754
     64            0.6590        0.8713       0.5039            0.5039        1.1694  0.0006  138.7529
     65            0.6516        0.8679       0.4961            0.4961        1.1862  0.0006  125.4940
     66            0.6520        0.8811       0.5019            0.5019        1.1766  0.0006  125.9011
     67            0.6779        0.8661       0.5046            0.5046        1.1618  0.0006  128.6293
     68            0.6829        0.8635       0.4969            0.4969        1.1534  0.0006  143.4865
     69            0.6593        0.8784       0.4900            0.4900        1.1866  0.0006  166.0333
     70            0.6840        0.8650       0.4996            0.4996        1.1521  0.0006  169.5394
     71            0.6721        0.8575       0.4977            0.4977        1.1741  0.0006  138.9858
     72            0.6644        0.8357       0.4934            0.4934        1.1772  0.0006  132.0993
     73            0.6744        0.8592       0.4977            0.4977        1.1701  0.0006  134.5920
     74            0.6902        0.8141       0.5069            0.5069        1.1547  0.0006  138.9455
     75            0.6690        0.8308       0.5015            0.5015        1.1666  0.0006  150.9385
     76            0.6771        0.8272       0.5004            0.5004        1.1697  0.0006  155.7775
     77            0.7045        0.8227       0.5046            0.5046        1.1496  0.0006  153.5671
     78            0.6956        0.8105       0.5031            0.5031        1.1500  0.0006  151.9895
     79            0.7006        0.8165       0.5039            0.5039        1.1463  0.0006  152.9078
     80            0.6979        0.8270       0.5031            0.5031        1.1521  0.0006  155.4946
     81            0.6921        0.8279       0.5046            0.5046        1.1529  0.0006  147.4609
     82            0.7149        0.8166       0.5112            0.5112        1.1347  0.0006  152.9019
     83            0.6937        0.8087       0.5039            0.5039        1.1561  0.0006  170.6164
     84            0.7157        0.8106       0.5120            0.5120        1.1334  0.0006  166.7275
     85            0.7288        0.8130       0.5216            0.5216        1.1223  0.0006  146.7384
     86            0.7041        0.7854       0.5174            0.5174        1.1436  0.0006  146.3462
     87            0.7272        0.7980       0.5150            0.5150        1.1229  0.0006  144.9721
     88            0.6917        0.7848       0.5012            0.5012        1.1643  0.0006  144.2240
     89            0.6987        0.8105       0.5150            0.5150        1.1622  0.0006  144.8017
     90            0.7025        0.7911       0.5035            0.5035        1.1592  0.0006  159.1415
     91            0.7141        0.7817       0.5181            0.5181        1.1432  0.0005  146.8188
     92            0.7369        0.7816       0.5224            0.5224        1.1117  0.0005  153.5879
     93            0.7284        0.7805       0.5216            0.5216        1.1312  0.0005  145.1022
     94            0.7172        0.7757       0.5085            0.5085        1.1483  0.0005  132.7056
     95            0.7191        0.7656       0.5166            0.5166        1.1455  0.0005  125.6015
     96            0.7149        0.7589       0.5116            0.5116        1.1518  0.0005  132.3045
     97            0.7172        0.7797       0.5147            0.5147        1.1396  0.0005  131.2850
     98            0.7033        0.7681       0.5035            0.5035        1.1701  0.0005  122.1418
     99            0.7388        0.7657       0.5123            0.5123        1.1383  0.0005  119.8865
    100            0.7326        0.7618       0.5185            0.5185        1.1496  0.0005  113.8220
    101            0.7149        0.7642       0.5035            0.5035        1.1708  0.0005  133.7747
    102            0.7488        0.7494       0.5309            0.5309        1.1207  0.0005  120.0762
    103            0.7419        0.7504       0.5181            0.5181        1.1321  0.0005  116.0900
    104            0.7531        0.7713       0.5243            0.5243        1.1144  0.0005  127.4179
    105            0.7404        0.7337       0.5212            0.5212        1.1366  0.0005  121.0750
    106            0.7226        0.7495       0.5120            0.5120        1.1603  0.0005  125.8511
    107            0.7353        0.7482       0.5150            0.5150        1.1459  0.0005  119.6638
    108            0.7234        0.7357       0.5089            0.5089        1.1576  0.0005  114.0162
    109            0.7539        0.7326       0.5220            0.5220        1.1262  0.0005  116.0734
    110            0.7357        0.7401       0.5216            0.5216        1.1407  0.0005  128.9961
    111            0.7485        0.7430       0.5231            0.5231        1.1311  0.0005  121.2829
    112            0.7407        0.7235       0.5189            0.5189        1.1465  0.0005  124.8900
    113            0.7450        0.7361       0.5305            0.5305        1.1420  0.0005  131.8199
    114            0.7558        0.7206       0.5274            0.5274        1.1263  0.0005  102.6628
    115            0.7596        0.7203       0.5251            0.5251        1.1290  0.0005  91.4348
    116            0.7365        0.7449       0.5247            0.5247        1.1496  0.0005  91.0281
    117            0.7404        0.7449       0.5174            0.5174        1.1500  0.0005  87.5717
    118            0.7384        0.7293       0.5177            0.5177        1.1514  0.0005  100.2326
    119            0.7535        0.7289       0.5224            0.5224        1.1275  0.0005  119.1126
    120            0.7519        0.7130       0.5274            0.5274        1.1364  0.0005  98.8572
    121            0.7639        0.6984       0.5220            0.5220        1.1308  0.0005  99.6875
    122            0.7492        0.7133       0.5177            0.5177        1.1479  0.0005  102.2668
    123            0.7531        0.6985       0.5170            0.5170        1.1546  0.0005  89.5900
    124            0.7670        0.7197       0.5251            0.5251        1.1324  0.0005  97.5759
    125            0.7515        0.7272       0.5135            0.5135        1.1621  0.0005  87.3550
    126            0.7546        0.7171       0.5135            0.5135        1.1601  0.0005  139.1736
    127            0.7616        0.7105       0.5197            0.5197        1.1421  0.0005  85.7628
    128            0.7716        0.7227       0.5285            0.5285        1.1365  0.0005  90.3820
    129            0.7666        0.6934       0.5278            0.5278        1.1454  0.0005  92.5472
    130            0.7840        0.7155       0.5274            0.5274        1.1250  0.0005  98.8174
    131            0.7836        0.7105       0.5289            0.5289        1.1222  0.0005  91.4221
    132            0.7758        0.6996       0.5347            0.5347        1.1312  0.0005  116.0900
    133            0.7728        0.7141       0.5208            0.5208        1.1406  0.0005  90.0925
    134            0.7600        0.6955       0.5189            0.5189        1.1552  0.0005  115.8001
    135            0.7743        0.6918       0.5247            0.5247        1.1433  0.0005  87.8596
    136            0.7670        0.7150       0.5235            0.5235        1.1562  0.0005  91.8287
    137            0.7577        0.7049       0.5166            0.5166        1.1570  0.0005  91.4536
    138            0.7662        0.7014       0.5212            0.5212        1.1571  0.0005  96.3464
    139            0.7650        0.7041       0.5208            0.5208        1.1523  0.0005  89.9584
    140            0.7704        0.7042       0.5301            0.5301        1.1386  0.0005  88.2973
    141            0.7720        0.7103       0.5255            0.5255        1.1378  0.0005  97.5525
    142            0.7666        0.7021       0.5316            0.5316        1.1394  0.0005  96.2524
    143            0.7693        0.7115       0.5258            0.5258        1.1479  0.0004  124.1440
    144            0.7704        0.6807       0.5208            0.5208        1.1453  0.0004  105.9702
    145            0.7716        0.6912       0.5197            0.5197        1.1490  0.0004  105.0294
    146            0.7805        0.7013       0.5274            0.5274        1.1303  0.0004  91.9713
    147            0.7789        0.6892       0.5258            0.5258        1.1346  0.0004  92.1276
    148            0.7824        0.6570       0.5332            0.5332        1.1307  0.0004  90.7156
