  epoch    train_accuracy    train_loss    valid_acc    valid_accuracy    valid_loss      lr       dur
-------  ----------------  ------------  -----------  ----------------  ------------  ------  --------
      1            0.2913        4.6073       0.2743            0.2743        5.3836  0.0500  349.0369
      2            0.3403        1.4942       0.3322            0.3322        1.5353  0.0500  328.4813
      3            0.3877        1.3134       0.3785            0.3785        1.4336  0.0500  326.4606
      4            0.4549        1.2844       0.4228            0.4228        1.2664  0.0500  332.3646
      5            0.4367        1.2698       0.4113            0.4113        1.2744  0.0500  316.2722
      6            0.4715        1.2542       0.4298            0.4298        1.2501  0.0500  315.4293
      7            0.4649        1.2232       0.4205            0.4205        1.2547  0.0500  317.2533
      8            0.4495        1.2245       0.4275            0.4275        1.3230  0.0500  319.8772
      9            0.5204        1.1970       0.4676            0.4676        1.2183  0.0500  315.6817
     10            0.5093        1.1721       0.4618            0.4618        1.2256  0.0500  326.7126
     11            0.5594        1.1664       0.4961            0.4961        1.1803  0.0500  320.8841
     12            0.5463        1.1348       0.4823            0.4823        1.1887  0.0500  315.5772
     13            0.5517        1.1567       0.4896            0.4896        1.1969  0.0500  316.2701
     14            0.5382        1.1463       0.4857            0.4857        1.1863  0.0500  326.4733
     15            0.5548        1.1537       0.5042            0.5042        1.1559  0.0500  331.8381
     16            0.5687        1.1107       0.5069            0.5069        1.1446  0.0500  299.1557
     17            0.5617        1.1056       0.4977            0.4977        1.1601  0.0500  321.1901
     18            0.5644        1.1133       0.4981            0.4981        1.1700  0.0500  317.4483
     19            0.5802        1.0923       0.5085            0.5085        1.1465  0.0500  314.1817
     20            0.6026        1.1055       0.5320            0.5320        1.1272  0.0500  327.2345
     21            0.5768        1.0984       0.4992            0.4992        1.1489  0.0500  312.1736
     22            0.6080        1.0835       0.5324            0.5324        1.1214  0.0499  327.7436
     23            0.5772        1.0802       0.5139            0.5139        1.1431  0.0499  321.4083
     24            0.5621        1.0944       0.4869            0.4869        1.1719  0.0499  311.2204
     25            0.5772        1.0996       0.5116            0.5116        1.1398  0.0499  335.6328
     26            0.5845        1.1002       0.5019            0.5019        1.1421  0.0499  324.2004
     27            0.6076        1.0630       0.5359            0.5359        1.0865  0.0499  320.7525
     28            0.6300        1.0523       0.5386            0.5386        1.0908  0.0499  296.5197
     29            0.6235        1.0758       0.5293            0.5293        1.0997  0.0499  312.6801
     30            0.5864        1.0517       0.5054            0.5054        1.1285  0.0499  317.6115
     31            0.6065        1.0847       0.5077            0.5077        1.1243  0.0499  291.7123
     32            0.6520        1.0399       0.5598            0.5598        1.0577  0.0499  298.1573
     33            0.6389        1.0701       0.5559            0.5559        1.0932  0.0499  323.4413
     34            0.6605        1.1126       0.5633            0.5633        1.0813  0.0499  316.1310
     35            0.6547        1.0281       0.5448            0.5448        1.0674  0.0499  290.1199
     36            0.6431        1.0125       0.5579            0.5579        1.0682  0.0498  299.2029
     37            0.6485        1.0241       0.5617            0.5617        1.0420  0.0498  299.6945
     38            0.6393        1.0046       0.5409            0.5409        1.0809  0.0498  293.2957
     39            0.6204        1.0044       0.5324            0.5324        1.1622  0.0498  286.2713
     40            0.6331        1.0177       0.5590            0.5590        1.0427  0.0498  296.4947
     41            0.6906        1.0520       0.5760            0.5760        1.0223  0.0498  303.6768
     42            0.6813        1.0078       0.5768            0.5768        1.0311  0.0498  297.8378
     43            0.6590        1.0574       0.5567            0.5567        1.1103  0.0498  285.1277
     44            0.6844        0.9974       0.5752            0.5752        1.0542  0.0498  300.4985
     45            0.6678        0.9886       0.5860            0.5860        1.0239  0.0498  297.4757
     46            0.6308        1.0179       0.5405            0.5405        1.1462  0.0498  299.6823
     47            0.6165        1.0815       0.5239            0.5239        1.1512  0.0497  292.9323
     48            0.7079        1.0367       0.6123            0.6123        0.9686  0.0497  277.9899
     49            0.7029        0.9869       0.5995            0.5995        0.9903  0.0497  280.4264
     50            0.6802        0.9454       0.5633            0.5633        1.0444  0.0497  290.1063
     51            0.7292        0.9536       0.6080            0.6080        0.9615  0.0497  303.9518
     52            0.7153        0.9559       0.6127            0.6127        0.9602  0.0497  298.3468
     53            0.7427        0.9107       0.6451            0.6451        0.9018  0.0497  303.9702
     54            0.7508        0.9193       0.6327            0.6327        0.9165  0.0497  307.1861
     55            0.6964        0.9957       0.5880            0.5880        0.9946  0.0496  298.2826
     56            0.7315        1.0339       0.6181            0.6181        1.0526  0.0496  297.6613
     57            0.7519        0.9303       0.6474            0.6474        0.8995  0.0496  313.5501
     58            0.7562        0.9136       0.6416            0.6416        0.8952  0.0496  296.7911
     59            0.7461        0.9232       0.6134            0.6134        0.9491  0.0496  291.0156
     60            0.6937        0.9244       0.5872            0.5872        1.0033  0.0496  297.5700
     61            0.7296        0.9587       0.6161            0.6161        0.9348  0.0496  316.1701
     62            0.7461        0.9360       0.6242            0.6242        0.9160  0.0495  308.2157
     63            0.7643        0.9290       0.6304            0.6304        0.9076  0.0495  291.1617
     64            0.6991        0.9605       0.5872            0.5872        0.9775  0.0495  292.4510
