Subject,Model,Accuracy
1,EEGNetv1,25.0
1,EEGNetv1,25.0
1,EEGNetv1,25.0
1,EEGNetv1,25.0
1,EEGNetv1,25.0
1,EEGNetv1,24.65
1,EEGNetv1,25.0
1,EEGNetv1,25.0
1,EEGNetv1,25.0
1,EEGNetv1,25.0
1,EEGNetv1,25.0
1,EEGNetv1,25.0
1,EEGNetv1,25.0
1,EEGNetv1,25.0
1,EEGNetv1,25.0
1,EEGNetv1,26.04
1,EEGNetv1,44.79
1,EEGNetv1,34.38
1,EEGNetv1,47.57
1,EEGNetv1,48.96
1,EEGNetv1,49.31
1,EEGNetv1,48.96
1,EEGNetv1,50.0
1,EEGNetv1,55.21
1,EEGNetv1,52.43
1,EEGNetv1,50.69
1,EEGNetv1,56.94
1,EEGNetv1,50.69
1,EEGNetv1,50.0
1,EEGNetv1,51.74
1,EEGNetv1,54.86
1,EEGNetv1,54.17
1,EEGNetv1,54.17
1,EEGNetv1,54.51
1,EEGNetv1,54.17
1,EEGNetv1,53.47
1,EEGNetv1,54.86
1,EEGNetv1,52.78
1,EEGNetv1,54.17
1,EEGNetv1,52.08
1,EEGNetv1,52.43
1,EEGNetv1,53.82
1,EEGNetv1,57.29
1,EEGNetv1,58.33
1,EEGNetv1,58.68
1,EEGNetv1,53.47
1,EEGNetv1,57.99
1,EEGNetv1,56.6
1,EEGNetv1,58.33
2,EEGNetv1,25.0
2,EEGNetv1,25.0
2,EEGNetv1,25.0
2,EEGNetv1,25.0
2,EEGNetv1,24.31
2,EEGNetv1,25.69
2,EEGNetv1,25.0
2,EEGNetv1,26.74
2,EEGNetv1,25.0
2,EEGNetv1,25.0
2,EEGNetv1,25.35
2,EEGNetv1,25.69
2,EEGNetv1,25.0
2,EEGNetv1,25.35
2,EEGNetv1,26.04
2,EEGNetv1,25.35
2,EEGNetv1,29.51
2,EEGNetv1,26.39
2,EEGNetv1,27.08
2,EEGNetv1,27.08
2,EEGNetv1,26.74
2,EEGNetv1,25.69
2,EEGNetv1,27.78
2,EEGNetv1,26.04
2,EEGNetv1,25.69
2,EEGNetv1,29.17
2,EEGNetv1,27.43
2,EEGNetv1,27.78
2,EEGNetv1,28.82
2,EEGNetv1,26.39
2,EEGNetv1,27.43
2,EEGNetv1,30.56
2,EEGNetv1,29.86
2,EEGNetv1,27.43
2,EEGNetv1,28.47
2,EEGNetv1,30.21
2,EEGNetv1,29.51
2,EEGNetv1,29.17
2,EEGNetv1,28.82
2,EEGNetv1,30.56
2,EEGNetv1,29.17
2,EEGNetv1,31.94
2,EEGNetv1,29.86
2,EEGNetv1,29.51
2,EEGNetv1,30.21
2,EEGNetv1,28.47
2,EEGNetv1,30.56
2,EEGNetv1,31.25
2,EEGNetv1,31.25
2,EEGNetv1,27.43
2,EEGNetv1,27.78
2,EEGNetv1,29.86
2,EEGNetv1,29.86
2,EEGNetv1,28.12
2,EEGNetv1,27.43
2,EEGNetv1,28.47
3,EEGNetv1,25.0
3,EEGNetv1,25.0
3,EEGNetv1,25.35
3,EEGNetv1,32.99
3,EEGNetv1,33.33
3,EEGNetv1,32.29
3,EEGNetv1,27.43
3,EEGNetv1,27.08
