  epoch    train_accuracy    train_loss    valid_acc    valid_accuracy    valid_loss      lr      dur
-------  ----------------  ------------  -----------  ----------------  ------------  ------  -------
      1            0.2465       15.3179       0.2535            0.2535      495.9068  0.0500  20.0809
      2            0.2500        4.9354       0.2500            0.2500      173.2918  0.0500  17.9197
      3            0.2500        2.8760       0.2500            0.2500       74.3959  0.0499  16.1032
      4            0.2500        2.0753       0.2500            0.2500       26.6304  0.0499  21.3316
      5            0.3646        1.7445       0.3333            0.3333        8.7622  0.0498  18.2761
      6            0.2500        1.6043       0.2500            0.2500        9.6032  0.0497  19.8219
      7            0.2500        1.3839       0.2500            0.2500        9.8953  0.0495  19.5766
      8            0.2500        1.1933       0.2500            0.2500        7.5194  0.0494  18.5297
      9            0.2500        1.2367       0.2500            0.2500        6.9303  0.0492  18.2827
     10            0.3194        1.2998       0.2986            0.2986        3.9245  0.0490  18.8427
     11            0.3264        1.1039       0.3056            0.3056        3.4953  0.0488  19.2942
     12            0.3542        1.0689       0.3264            0.3264        2.7578  0.0485  18.0626
     13            0.4549        0.9672       0.3785            0.3785        1.8840  0.0482  20.8399
     14            0.5174        0.9219       0.4167            0.4167        1.6850  0.0479  18.3189
     15            0.4201        0.9201       0.3854            0.3854        1.7719  0.0476  24.1891
     16            0.4965        0.8463       0.4479            0.4479        1.5526  0.0472  26.3455
     17            0.4618        0.7919       0.4306            0.4306        1.6752  0.0468  20.7517
     18            0.5833        0.7938       0.4861            0.4861        1.5067  0.0464  21.7073
     19            0.5694        0.7988       0.4826            0.4826        1.5164  0.0460  18.7635
     20            0.6042        0.7559       0.4757            0.4757        1.3018  0.0456  18.8109
     21            0.6215        0.6512       0.5451            0.5451        1.2117  0.0451  19.2278
     22            0.6181        0.7324       0.5278            0.5278        1.2153  0.0447  18.7181
     23            0.6111        0.6439       0.5035            0.5035        1.3558  0.0442  18.5606
     24            0.7014        0.6489       0.5694            0.5694        1.1652  0.0436  17.7043
     25            0.5347        0.6630       0.4757            0.4757        1.5488  0.0431  17.7495
     26            0.5417        0.6426       0.5104            0.5104        1.3405  0.0425  16.5086
     27            0.6250        0.5942       0.5521            0.5521        1.1885  0.0420  14.1977
     28            0.6354        0.5551       0.5590            0.5590        1.1867  0.0414  13.5226
     29            0.6493        0.5084       0.5868            0.5868        1.1906  0.0408  14.3486
     30            0.6389        0.5281       0.5556            0.5556        1.2353  0.0401  12.9438
     31            0.7188        0.4713       0.5972            0.5972        1.1901  0.0395  15.0159
     32            0.7014        0.4527       0.6076            0.6076        1.1769  0.0388  14.4518
     33            0.7257        0.5251       0.6076            0.6076        1.1127  0.0382  16.4642
     34            0.6007        0.4908       0.5382            0.5382        1.4255  0.0375  14.7546
     35            0.5833        0.4891       0.5104            0.5104        1.4341  0.0368  15.1012
     36            0.5243        0.4616       0.5035            0.5035        1.6008  0.0361  14.3402
     37            0.6007        0.5067       0.5243            0.5243        1.4971  0.0354  15.8691
     38            0.6389        0.4143       0.5694            0.5694        1.3072  0.0347  13.1510
     39            0.7118        0.4015       0.5903            0.5903        1.2300  0.0339  14.0504
     40            0.7118        0.4458       0.6007            0.6007        1.2425  0.0332  13.7604
     41            0.7222        0.3904       0.5833            0.5833        1.3146  0.0324  14.3921
     42            0.7951        0.3606       0.6319            0.6319        1.0962  0.0317  16.8875
     43            0.7812        0.3659       0.6146            0.6146        1.1819  0.0309  15.6077
     44            0.7361        0.3548       0.6111            0.6111        1.3466  0.0301  13.6610
     45            0.7951        0.3810       0.6285            0.6285        1.1902  0.0293  13.1268
     46            0.8021        0.3848       0.6250            0.6250        1.1910  0.0286  14.0861
     47            0.7778        0.3313       0.6111            0.6111        1.3049  0.0278  13.7594
     48            0.8611        0.2985       0.6319            0.6319        1.2372  0.0270  12.8912
     49            0.7361        0.2954       0.5938            0.5938        1.5934  0.0262  16.5719
     50            0.7569        0.3379       0.6181            0.6181        1.5158  0.0254  13.5487
     51            0.8750        0.3293       0.6285            0.6285        1.2714  0.0246  15.1209
     52            0.8299        0.3409       0.6389            0.6389        1.2800  0.0238  14.6195
     53            0.8958        0.3974       0.6632            0.6632        1.1398  0.0230  14.5067
     54            0.8958        0.2223       0.6493            0.6493        1.1764  0.0222  12.8848
     55            0.9132        0.2499       0.6458            0.6458        1.0768  0.0214  15.1463
     56            0.9028        0.2961       0.6562            0.6562        1.0973  0.0207  14.7562
     57            0.9167        0.2521       0.6597            0.6597        1.1381  0.0199  12.0672
     58            0.9306        0.2557       0.6354            0.6354        1.1686  0.0191  13.4542
     59            0.9410        0.2963       0.6597            0.6597        1.1534  0.0183  15.4146
     60            0.9444        0.2535       0.6667            0.6667        1.1068  0.0176  15.1640
     61            0.9306        0.3065       0.6597            0.6597        1.1550  0.0168  15.4024
     62            0.9444        0.2574       0.6458            0.6458        1.1314  0.0161  13.5516
     63            0.9444        0.2782       0.6424            0.6424        1.1335  0.0153  12.5129
     64            0.9618        0.2696       0.6250            0.6250        1.1573  0.0146  13.9892
     65            0.9549        0.1821       0.6319            0.6319        1.1528  0.0139  15.8432
     66            0.9479        0.2336       0.6528            0.6528        1.0968  0.0132  14.1656
     67            0.9653        0.2178       0.6493            0.6493        1.0891  0.0125  13.7411
     68            0.9375        0.2471       0.6424            0.6424        1.1433  0.0118  16.8542
     69            0.9444        0.2175       0.6528            0.6528        1.1334  0.0112  13.8559
     70            0.9618        0.2337       0.6354            0.6354        1.1043  0.0105  16.1762
     71            0.9479        0.1801       0.6562            0.6562        1.0859  0.0099  15.4456
     72            0.9201        0.2115       0.6632            0.6632        1.1048  0.0092  17.1577
Stopping since valid_loss has not improved in the last 18 epochs.
Elapsed time: 1276.971717596054 seconds
