Model,Accuracy
ShallowNet,28.59
ShallowNet,32.29
ShallowNet,34.14
ShallowNet,34.49
ShallowNet,40.39
ShallowNet,45.14
ShallowNet,44.44
ShallowNet,49.23
ShallowNet,52.47
ShallowNet,53.9
ShallowNet,55.09
ShallowNet,55.59
ShallowNet,55.4
ShallowNet,56.13
ShallowNet,57.72
ShallowNet,55.36
ShallowNet,57.75
ShallowNet,59.88
ShallowNet,57.37
ShallowNet,61.23
ShallowNet,56.91
ShallowNet,59.45
ShallowNet,57.1
ShallowNet,60.49
ShallowNet,61.92
ShallowNet,60.53
ShallowNet,61.0
ShallowNet,59.57
ShallowNet,61.03
ShallowNet,61.34
ShallowNet,59.38
ShallowNet,48.69
ShallowNet,62.0
ShallowNet,61.34
ShallowNet,62.04
ShallowNet,56.44
ShallowNet,59.34
ShallowNet,60.26
ShallowNet,58.41
ShallowNet,55.05
ShallowNet,61.07
ShallowNet,61.07
ShallowNet,57.91
ShallowNet,62.04
ShallowNet,59.34
ShallowNet,61.88
ShallowNet,64.16
ShallowNet,60.15
ShallowNet,56.6
ShallowNet,60.03
ShallowNet,62.11
ShallowNet,59.99
ShallowNet,62.15
ShallowNet,60.61
ShallowNet,62.85
ShallowNet,62.81
ShallowNet,59.68
ShallowNet,60.26
ShallowNet,59.95
ShallowNet,62.65
ShallowNet,63.66
ShallowNet,60.34
ShallowNet,59.38
ShallowNet,63.31
ShallowNet,59.99
ShallowNet,53.28
ShallowNet,63.46
ShallowNet,52.04
ShallowNet,63.5
ShallowNet,61.11
ShallowNet,62.77
ShallowNet,62.73
ShallowNet,65.01
ShallowNet,63.39
ShallowNet,63.08
ShallowNet,62.27
ShallowNet,63.43
ShallowNet,57.52
ShallowNet,62.81
ShallowNet,58.45
ShallowNet,61.34
ShallowNet,64.39
ShallowNet,62.65
ShallowNet,63.39
ShallowNet,60.34
ShallowNet,62.42
ShallowNet,62.92
ShallowNet,64.43
ShallowNet,64.89
ShallowNet,63.7
ShallowNet,57.33
ShallowNet,63.04
ShallowNet,61.3
ShallowNet,59.53
ShallowNet,63.46
ShallowNet,65.24
ShallowNet,61.15
ShallowNet,63.97
ShallowNet,62.65
