  epoch    train_accuracy    train_loss    valid_acc    valid_accuracy    valid_loss      lr      dur
-------  ----------------  ------------  -----------  ----------------  ------------  ------  -------
      1            0.3337        4.9779       0.2859            0.2859        3.3098  0.0200  58.3501
      2            0.4028        4.7109       0.3229            0.3229        2.7505  0.0200  53.4850
      3            0.4032        4.3184       0.3414            0.3414        3.0735  0.0200  55.2968
      4            0.4093        4.2381       0.3449            0.3449        3.1161  0.0200  56.5249
      5            0.4900        3.7727       0.4039            0.4039        2.8677  0.0200  69.5351
      6            0.5710        3.2438       0.4514            0.4514        2.2130  0.0200  55.6586
      7            0.5652        2.5229       0.4444            0.4444        1.9732  0.0200  54.5296
      8            0.5968        2.0083       0.4923            0.4923        1.6983  0.0200  55.0060
      9            0.6451        1.7586       0.5247            0.5247        1.2544  0.0200  56.1976
     10            0.6836        1.4510       0.5390            0.5390        1.2181  0.0200  55.5137
     11            0.6833        1.2550       0.5509            0.5509        1.1514  0.0200  53.8983
     12            0.7037        1.1490       0.5559            0.5559        1.0952  0.0200  61.4833
     13            0.7018        1.0522       0.5540            0.5540        1.1460  0.0200  54.8474
     14            0.6705        1.0188       0.5613            0.5613        1.1115  0.0200  55.1261
     15            0.7423        1.0271       0.5772            0.5772        1.0270  0.0200  53.0737
     16            0.7095        0.9499       0.5536            0.5536        1.0690  0.0200  55.4796
     17            0.7338        0.9291       0.5775            0.5775        1.0183  0.0200  58.3465
     18            0.7608        0.8958       0.5988            0.5988        1.0240  0.0200  61.3626
     19            0.7160        0.9026       0.5737            0.5737        1.0888  0.0200  57.1776
     20            0.7670        0.8900       0.6123            0.6123        0.9740  0.0200  58.8051
     21            0.7222        0.8510       0.5691            0.5691        1.0715  0.0200  61.3376
     22            0.7608        0.8692       0.5945            0.5945        1.0042  0.0200  55.2965
     23            0.7458        0.8507       0.5710            0.5710        1.0451  0.0200  63.8629
     24            0.7936        0.8173       0.6049            0.6049        0.9591  0.0200  61.8384
     25            0.8052        0.8111       0.6192            0.6192        0.9516  0.0200  60.4846
     26            0.7851        0.8430       0.6053            0.6053        0.9881  0.0200  60.1493
     27            0.7909        0.8379       0.6100            0.6100        0.9767  0.0200  59.5539
     28            0.7731        0.8216       0.5957            0.5957        1.0035  0.0200  60.8495
     29            0.7789        0.8217       0.6103            0.6103        0.9749  0.0200  60.4823
