Subject,Model,Accuracy
1,ShallowNet,25.0
1,ShallowNet,28.12
1,ShallowNet,27.08
1,ShallowNet,29.86
1,ShallowNet,28.82
1,ShallowNet,39.58
1,ShallowNet,40.28
1,ShallowNet,43.75
1,ShallowNet,39.24
1,ShallowNet,47.57
1,ShallowNet,39.58
1,ShallowNet,40.97
1,ShallowNet,43.75
1,ShallowNet,52.08
1,ShallowNet,46.18
1,ShallowNet,41.32
1,ShallowNet,41.67
1,ShallowNet,46.18
1,ShallowNet,49.31
1,ShallowNet,48.96
1,ShallowNet,47.92
1,ShallowNet,42.71
1,ShallowNet,45.83
1,ShallowNet,46.88
2,ShallowNet,25.0
2,ShallowNet,22.57
2,ShallowNet,27.08
2,ShallowNet,25.35
2,ShallowNet,23.96
2,ShallowNet,27.43
2,ShallowNet,22.92
2,ShallowNet,22.22
2,ShallowNet,28.47
2,ShallowNet,27.08
2,ShallowNet,24.31
2,ShallowNet,22.92
2,ShallowNet,21.88
2,ShallowNet,22.57
2,ShallowNet,24.65
2,ShallowNet,25.35
2,ShallowNet,22.92
2,ShallowNet,26.04
2,ShallowNet,27.08
2,ShallowNet,25.0
2,ShallowNet,26.04
2,ShallowNet,26.39
2,ShallowNet,22.92
3,ShallowNet,31.6
3,ShallowNet,27.78
3,ShallowNet,28.82
3,ShallowNet,33.33
3,ShallowNet,39.58
3,ShallowNet,38.54
3,ShallowNet,42.36
3,ShallowNet,41.67
3,ShallowNet,41.67
3,ShallowNet,42.01
3,ShallowNet,40.62
3,ShallowNet,44.44
3,ShallowNet,38.54
3,ShallowNet,45.49
3,ShallowNet,42.71
3,ShallowNet,42.71
3,ShallowNet,46.18
3,ShallowNet,39.93
3,ShallowNet,42.71
3,ShallowNet,45.49
3,ShallowNet,44.1
3,ShallowNet,48.26
3,ShallowNet,47.92
3,ShallowNet,46.53
4,ShallowNet,25.0
4,ShallowNet,30.56
4,ShallowNet,31.6
4,ShallowNet,24.31
4,ShallowNet,31.25
4,ShallowNet,37.5
4,ShallowNet,37.15
4,ShallowNet,33.33
